number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at
INC0000001,Resolved,False,0,0,4,False,Caller130,Operator20,2024-10-16 11:01:00,Operator1,2024-10-16 11:06:00,Analyst36,2024-10-27 04:01:28,Email,Data Center Alpha,Network,VPN,Cannot Access,2 - Medium,3 - Low,4 - Low,End User Support,Analyst38,False,True,Send Email,PRB0000217,,,,Not Solved (Not Reproducible),Resolver7,2024-10-25 23:40:51,2024-10-27 04:01:28
INC0000002,Closed,False,0,0,15,False,Caller93,Operator19,2023-04-05 20:06:00,Operator7,2023-04-05 20:08:00,Analyst46,2023-04-07 20:31:39,Phone,Bandırma HQ,Network,Wireless,Cannot Access,2 - Medium,1 - High,2 - High,Security Operations,Analyst6,True,True,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver14,2023-04-07 16:44:43,2023-04-07 20:31:39
INC0000003,Closed,False,1,0,12,True,Caller84,Operator27,2024-11-17 16:44:00,Operator25,2024-11-17 16:49:00,Analyst50,2024-11-21 10:52:08,Phone,İstanbul Regional,Software,ERP,System Slow,2 - Medium,2 - Medium,3 - Moderate,Infrastructure,Analyst26,False,True,Do Not Notify,,,,,Not Solved (Too Costly),Resolver26,2024-11-19 11:22:19,2024-11-21 10:52:08
INC0000004,Closed,False,5,0,13,False,Caller24,Operator25,2024-10-20 22:09:00,Operator2,2024-10-20 22:11:00,Analyst8,2024-11-01 03:32:03,Email,Elazığ Plant,Hardware,Desktop,Intermittent Failure,3 - Low,2 - Medium,4 - Low,Data Center Operations,Analyst5,False,False,Do Not Notify,,,,,Solved (Permanently),Resolver8,2024-10-31 10:09:30,2024-11-01 03:32:03
INC0000005,Closed,False,2,0,4,True,Caller161,Operator10,2024-11-30 01:48:00,Operator27,2024-11-30 01:50:00,Analyst41,2024-12-02 02:59:21,Direct Opening,İstanbul Regional,Network,Connectivity,Error Message,2 - Medium,2 - Medium,3 - Moderate,Infrastructure,Analyst49,True,True,Do Not Notify,,,,,Not Solved (Not Reproducible),Resolver16,2024-11-30 04:20:19,2024-12-02 02:59:21
INC0000006,Resolved,False,1,0,6,False,Caller136,Operator28,2023-03-01 15:56:00,Operator20,2023-03-01 16:00:00,Analyst28,2023-03-15 14:47:13,Email,İstanbul Regional,Software,Application,Data Loss,3 - Low,3 - Low,4 - Low,Cloud Services,Analyst43,False,False,Send Email,,,Vendor1,,Closed/Resolved by Caller,Resolver36,2023-03-15 08:37:27,2023-03-15 14:47:13
INC0000007,Resolved,False,1,0,13,False,Caller147,Operator19,2023-08-25 02:14:00,Operator16,2023-08-25 02:14:00,Analyst16,2023-09-06 16:59:57,IVR,Data Center Alpha,Software,Application,Cannot Access,2 - Medium,3 - Low,4 - Low,Network Operations,Analyst7,False,False,Do Not Notify,,,,,Solved (Permanently),Resolver4,2023-09-06 03:37:56,2023-09-06 16:59:57
INC0000008,Resolved,False,0,1,15,False,Caller141,Operator4,2024-02-18 07:21:00,Operator2,2024-02-18 07:21:00,Analyst42,2024-02-23 01:21:27,Direct Opening,Bandırma HQ,Hardware,Desktop,Service Unavailable,2 - Medium,2 - Medium,3 - Moderate,Application Support,Analyst11,False,False,Do Not Notify,,,,,Solved (Permanently),Resolver25,2024-02-21 07:22:56,2024-02-23 01:21:27
INC0000009,Resolved,False,0,0,9,False,Caller136,Operator6,2023-09-29 22:18:00,Operator2,2023-09-29 22:21:00,Analyst33,2023-10-08 05:00:30,Phone,Elazığ Plant,Inquiry / Help,Information,Service Unavailable,2 - Medium,2 - Medium,3 - Moderate,Data Center Operations,Analyst5,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver6,2023-10-06 17:06:20,2023-10-08 05:00:30
INC0000010,Closed,False,1,0,16,False,Caller193,Operator30,2024-03-06 05:37:00,Operator3,2024-03-06 05:41:00,Analyst1,2024-03-16 13:40:28,IVR,İzmir Office,Inquiry / Help,How To,Service Unavailable,3 - Low,2 - Medium,4 - Low,DevOps Team,Analyst14,False,True,Send SMS,,,,,Solved (Work Around),Resolver29,2024-03-16 07:23:32,2024-03-16 13:40:28
